local_image_path,label,Document,Page
data/1_2022-denver-green-code.png,COVER_PAGE,2022-denver-green-code.pdf,1
data/2_2022-denver-green-code.png,COVER_PAGE,2022-denver-green-code.pdf,2
data/3_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,3
data/4_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE,2022-denver-green-code.pdf,4
data/5_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,5
data/6_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,6
data/7_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,7
data/8_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,8
data/9_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,9
data/10_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,10
data/11_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,11
data/12_2022-denver-green-code.png,COVER_PAGE,2022-denver-green-code.pdf,12
data/13_2022-denver-green-code.png,TABLE_PAGE,2022-denver-green-code.pdf,13
data/14_2022-denver-green-code.png,BLANK_PAGE,2022-denver-green-code.pdf,14
data/15_2022-denver-green-code.png,TABLE_PAGE,2022-denver-green-code.pdf,15
data/16_2022-denver-green-code.png,TABLE_PAGE,2022-denver-green-code.pdf,16
data/17_2022-denver-green-code.png,TABLE_PAGE,2022-denver-green-code.pdf,17
data/18_2022-denver-green-code.png,TABLE_PAGE,2022-denver-green-code.pdf,18
data/19_2022-denver-green-code.png,TABLE_PAGE,2022-denver-green-code.pdf,19
data/20_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,20
data/21_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,21
data/22_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE,2022-denver-green-code.pdf,22
data/23_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,23
data/24_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,24
data/25_2022-denver-green-code.png,BLANK_PAGE,2022-denver-green-code.pdf,25
data/26_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,26
data/27_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,27
data/28_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,28
data/29_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,29
data/30_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,30
data/31_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,31
data/32_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,32
data/33_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,33
data/34_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,34
data/35_2022-denver-green-code.png,BLANK_PAGE,2022-denver-green-code.pdf,35
data/36_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,36
data/37_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,37
data/38_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,38
data/39_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE,2022-denver-green-code.pdf,39
data/40_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,40
data/41_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,41
data/42_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,42
data/43_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,43
data/44_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,44
data/45_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,45
data/46_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,46
data/47_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,47
data/48_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,48
data/49_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE,2022-denver-green-code.pdf,49
data/50_2022-denver-green-code.png,BLANK_PAGE,2022-denver-green-code.pdf,50
data/51_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE,2022-denver-green-code.pdf,51
data/52_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,52
data/53_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,53
data/54_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,54
data/55_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE,2022-denver-green-code.pdf,55
data/56_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE,2022-denver-green-code.pdf,56
data/57_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,57
data/58_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,58
data/59_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,59
data/60_2022-denver-green-code.png,BLANK_PAGE,2022-denver-green-code.pdf,60
data/61_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,61
data/62_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,62
data/63_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,63
data/64_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,64
data/65_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE,2022-denver-green-code.pdf,65
data/66_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE,2022-denver-green-code.pdf,66
data/67_2022-denver-green-code.png,BLANK_PAGE,2022-denver-green-code.pdf,67
data/68_2022-denver-green-code.png,TEXT_PAGE,2022-denver-green-code.pdf,68
