local_image_path,label
data/1_2022-denver-green-code.png,COVER_PAGE
data/2_2022-denver-green-code.png,COVER_PAGE
data/3_2022-denver-green-code.png,TEXT_PAGE
data/4_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/5_2022-denver-green-code.png,TEXT_PAGE
data/6_2022-denver-green-code.png,TEXT_PAGE
data/7_2022-denver-green-code.png,TEXT_PAGE
data/8_2022-denver-green-code.png,TEXT_PAGE
data/9_2022-denver-green-code.png,TEXT_PAGE
data/10_2022-denver-green-code.png,TEXT_PAGE
data/11_2022-denver-green-code.png,TEXT_PAGE
data/12_2022-denver-green-code.png,COVER_PAGE
data/13_2022-denver-green-code.png,TABLE_PAGE
data/14_2022-denver-green-code.png,BLANK_PAGE
data/15_2022-denver-green-code.png,TABLE_PAGE
data/16_2022-denver-green-code.png,TABLE_PAGE
data/17_2022-denver-green-code.png,TABLE_PAGE
data/18_2022-denver-green-code.png,TABLE_PAGE
data/19_2022-denver-green-code.png,TABLE_PAGE
data/20_2022-denver-green-code.png,TEXT_PAGE
data/21_2022-denver-green-code.png,TEXT_PAGE
data/22_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE
data/23_2022-denver-green-code.png,TEXT_PAGE
data/24_2022-denver-green-code.png,TEXT_PAGE
data/25_2022-denver-green-code.png,BLANK_PAGE
data/26_2022-denver-green-code.png,TEXT_PAGE
data/27_2022-denver-green-code.png,TEXT_PAGE
data/28_2022-denver-green-code.png,TEXT_PAGE
data/29_2022-denver-green-code.png,TEXT_PAGE
data/30_2022-denver-green-code.png,TEXT_PAGE
data/31_2022-denver-green-code.png,TEXT_PAGE
data/32_2022-denver-green-code.png,TEXT_PAGE
data/33_2022-denver-green-code.png,TEXT_PAGE
data/34_2022-denver-green-code.png,TEXT_PAGE
data/35_2022-denver-green-code.png,BLANK_PAGE
data/36_2022-denver-green-code.png,TEXT_PAGE
data/37_2022-denver-green-code.png,TEXT_PAGE
data/38_2022-denver-green-code.png,TEXT_PAGE
data/39_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/40_2022-denver-green-code.png,TEXT_PAGE
data/41_2022-denver-green-code.png,TEXT_PAGE
data/42_2022-denver-green-code.png,TEXT_PAGE
data/43_2022-denver-green-code.png,TEXT_PAGE
data/44_2022-denver-green-code.png,TEXT_PAGE
data/45_2022-denver-green-code.png,TEXT_PAGE
data/46_2022-denver-green-code.png,TEXT_PAGE
data/47_2022-denver-green-code.png,TEXT_PAGE
data/48_2022-denver-green-code.png,TEXT_PAGE
data/49_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE
data/50_2022-denver-green-code.png,BLANK_PAGE
data/51_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE
data/52_2022-denver-green-code.png,TEXT_PAGE
data/53_2022-denver-green-code.png,TEXT_PAGE
data/54_2022-denver-green-code.png,TEXT_PAGE
data/55_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/56_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/57_2022-denver-green-code.png,TEXT_PAGE
data/58_2022-denver-green-code.png,TEXT_PAGE
data/59_2022-denver-green-code.png,TEXT_PAGE
data/60_2022-denver-green-code.png,BLANK_PAGE
data/61_2022-denver-green-code.png,TEXT_PAGE
data/62_2022-denver-green-code.png,TEXT_PAGE
data/63_2022-denver-green-code.png,TEXT_PAGE
data/64_2022-denver-green-code.png,TEXT_PAGE
data/65_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/66_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/67_2022-denver-green-code.png,BLANK_PAGE
data/68_2022-denver-green-code.png,TEXT_PAGE
data/69_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/70_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/71_2022-denver-green-code.png,TEXT_PAGE
data/72_2022-denver-green-code.png,TEXT_PAGE
data/73_2022-denver-green-code.png,TEXT_PAGE
data/74_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/75_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/76_2022-denver-green-code.png,TEXT_PAGE
data/77_2022-denver-green-code.png,TEXT_PAGE
data/78_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE
data/79_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/80_2022-denver-green-code.png,BLANK_PAGE
data/81_2022-denver-green-code.png,TABLE_PAGE
data/82_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/83_2022-denver-green-code.png,TEXT_PAGE
data/84_2022-denver-green-code.png,COVER_PAGE
data/85_2022-denver-green-code.png,TEXT_PAGE
data/86_2022-denver-green-code.png,TEXT_PAGE
data/87_2022-denver-green-code.png,TEXT_PAGE
data/88_2022-denver-green-code.png,COVER_PAGE
data/89_2022-denver-green-code.png,TABLE_PAGE
data/90_2022-denver-green-code.png,COVER_PAGE
data/91_2022-denver-green-code.png,BLANK_PAGE
data/92_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/93_2022-denver-green-code.png,TEXT_PAGE
data/94_2022-denver-green-code.png,TEXT_PAGE
data/95_2022-denver-green-code.png,TEXT_PAGE
data/96_2022-denver-green-code.png,TEXT_PAGE
data/97_2022-denver-green-code.png,BLANK_PAGE
data/98_2022-denver-green-code.png,TEXT_PAGE
data/99_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/100_2022-denver-green-code.png,TEXT_PAGE
data/101_2022-denver-green-code.png,BLANK_PAGE
data/102_2022-denver-green-code.png,TEXT_PAGE
data/103_2022-denver-green-code.png,BLANK_PAGE
data/104_2022-denver-green-code.png,TEXT_PAGE
data/105_2022-denver-green-code.png,TEXT_PAGE
data/106_2022-denver-green-code.png,TEXT_PAGE
data/107_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE
data/108_2022-denver-green-code.png,BLANK_PAGE
data/109_2022-denver-green-code.png,TEXT_PAGE
data/110_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE
data/111_2022-denver-green-code.png,TEXT_PAGE
data/112_2022-denver-green-code.png,TEXT_PAGE
data/113_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/114_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/115_2022-denver-green-code.png,TEXT_PLUS_IMAGE_PAGE
data/116_2022-denver-green-code.png,TEXT_PAGE
data/117_2022-denver-green-code.png,TEXT_PAGE
data/118_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/119_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/120_2022-denver-green-code.png,TEXT_PAGE
data/121_2022-denver-green-code.png,TEXT_PAGE
data/122_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/123_2022-denver-green-code.png,TEXT_PLUS_TABLE_PAGE
data/124_2022-denver-green-code.png,TEXT_PAGE
